model,segment,threshold,n_test,n_functional,spearman_full,spearman_func_only,auc_full
ESM,S02,thr0.08,19559,11738,0.8613161920475325,0.6612632619029022,0.9662073794228152
ESM,S03,thr0.1,14611,9998,0.8624843426523857,0.6914363942638182,0.9695471177478503
ESM,S04,thr0.08,17436,11142,0.9020120143937924,0.7409326104524022,0.993509060065639
ESM,S05,thr0.25,60103,57001,0.3204211111491767,0.22915432342232697,0.9091680396390618
ESM,S05_swap,thr0.25,8150,7826,0.4076234272920219,0.3410049781412298,0.9498180723955918
ESM,S06,thr0.18,12829,8504,0.8187840516091454,0.5497200568820324,0.9699916530269331
ESM,S07,thr0.05,4893,1418,0.792636560326638,0.739653312797288,0.985477772929752
ESM,S08,thr0.18,11916,969,0.4316668458803131,0.843109944973043,0.9622531602920648
ESM,S12,thr0.1,24622,16786,0.7671116328824634,0.3726747513566685,0.9865798022453263
ESM,S12_swap,thr0.1,29676,14314,0.8399880497917747,0.3760666516693371,0.9913514935909259
MSA,S02,thr0.08,19559,11738,0.8660569187431982,0.6648732906161903,0.9719519039584132
MSA,S03,thr0.1,14611,9998,0.8754212018696201,0.7086238880462139,0.9777601303915672
MSA,S04,thr0.08,17436,11142,0.8983908924373205,0.7247182051883305,0.9946403383721947
MSA,S05,thr0.25,60103,57001,0.3453547211747782,0.25292722770140835,0.9283064853081914
MSA,S05_swap,thr0.25,8150,7826,0.40732432633821025,0.3395535610841591,0.9549249021148246
MSA,S06,thr0.18,12829,8504,0.8391593793082112,0.5973263655237746,0.9767261920945737
MSA,S07,thr0.05,4893,1418,0.8102634383448883,0.8238156462630544,0.9951866546255239
MSA,S08,thr0.18,11916,969,0.4381954564491937,0.93170619440361,0.9670875990076211
MSA,S12,thr0.1,24622,16786,0.7848124682701284,0.40242535445608957,0.9930608329810319
MSA,S12_swap,thr0.1,29676,14314,0.8401703306926408,0.3889449043176847,0.9911843317319325
METL-Local-45k,S02,thr0.08,19559,11738,0.5199151893356541,0.2652135934637343,0.785198534800067
METL-Local-45k,S03,thr0.1,14611,9998,0.5716178057358777,0.31976464354312556,0.825952823341603
METL-Local-45k,S04,thr0.08,17436,11142,0.7173452736366468,0.35227444155991344,0.9241921614251751
METL-Local-45k,S05,thr0.25,60103,57001,0.20618033091142418,0.16230710752577435,0.7085104584510157
METL-Local-45k,S06,thr0.18,12829,8504,0.5858935465282247,0.22149979661445235,0.865515663489198
METL-Local-45k,S07,thr0.05,4893,1418,0.5293348513749343,0.09946170478977939,0.826363202808698
METL-Local-45k,S08,thr0.18,11916,969,0.31231158353117355,0.3705149195980925,0.8245166244753901
METL-Local-45k,S12,thr0.1,24622,16786,0.6558313739332092,0.11190329737899721,0.964395046322846
